Metric 1: 0.587838
Metric 2
average correct log-likelihood: -5.825; average wrong log-likelihood: -12.087
Metric 3
and: ('和', -8.412477493286133)
from: ('來自', -3.859473466873169)
this: ('這', -6.987209320068359)
also: ('也', -8.20058536529541)
but: ('但是', -8.20775318145752)
one: ('一個', -9.854827880859375)
new: ('新的', -2.5985827445983887)
first: ('第一', -7.34779691696167)
they: ('他們', -7.259658336639404)
all: ('全部', -1.337571382522583)
people: ('人', -7.867846488952637)
may: ('五月份', -7.531791687011719)
after: ('之後', -3.060373544692993)
two: ('兩個', -3.362384796142578)
score: ('得分', -3.0569374561309814)
more: ('更多', -8.481075286865234)
time: ('時間', -0.5959475636482239)
team: ('團隊', -3.0355005264282227)
only: ('只', -8.204012870788574)
some: ('有些', -10.398908615112305)
years: ('歲月', -3.740119218826294)
school: ('學校', -1.7536945343017578)
state: ('州', -3.8946094512939453)
year: ('年度', -4.443111419677734)
most: ('最多', -1.8968896865844727)
city: ('城', -1.2988554239273071)
then: ('然後', -7.2976226806640625)
county: ('縣', -2.112687826156616)
will: ('將', -8.733871459960938)
delete: ('刪除', -2.06418776512146)
august: ('八月', -4.775649070739746)
july: ('七月', -0.7929180860519409)
film: ('電影', -1.0070651769638062)
south: ('南方', -7.737022399902344)
september: ('九月', -0.33146166801452637)
like: ('喜歡', -6.440389633178711)
october: ('十月份', -5.3059704303741455)
three: ('三個', -6.702685356140137)
june: ('六月', -0.8537038564682007)
use: ('使用', -8.359480857849121)
war: ('戰爭', -2.5462558269500732)
april: ('四月', -4.013731479644775)
born: ('出生', -1.5590910911560059)
later: ('後來', -3.3190324306488037)
players: ('玩家', -2.085646152496338)
list: ('列表', -1.3400033712387085)
second: ('秒', -5.024284839630127)
name: ('姓名', -1.687104344367981)
group: ('群', -1.3397377729415894)
just: ('只是', -10.189117431640625)
north: ('北方', -1.660477876663208)
before: ('以前', -2.2842111587524414)
season: ('季節', -1.3821429014205933)
through: ('透過', -4.054266929626465)
district: ('區', -3.8217616081237793)
comments: ('評論', -2.095478057861328)
football: ('足球', -0.3726142942905426)
league: ('聯盟', -3.750413656234741)
album: ('專輯', -1.860777497291565)
number: ('數', -2.1983938217163086)
family: ('家庭', -1.6825863122940063)
area: ('區域', -4.172469139099121)
life: ('生命', -1.2332782745361328)
game: ('遊戲', -2.4699363708496094)
above: ('上方', -9.0719633102417)
club: ('俱樂部', -2.6743645668029785)
early: ('早期', -3.2924721240997314)
west: ('西部', -2.9563064575195312)
house: ('屋', -1.9737141132354736)
left: ('左', -6.5132646560668945)
day: ('日', -7.43109655380249)
place: ('地方', -2.48044490814209)
party: ('黨', -3.9223811626434326)
college: ('大學', -1.681825041770935)
four: ('四個', -7.201456069946289)
class: ('班級', -3.4405011534690857)
found: ('找到', -3.275876998901367)
style: ('風格', -3.388964891433716)
long: ('久', -2.9204823970794678)
back: ('背', -3.390488862991333)
modify: ('修改', -1.452031135559082)
end: ('結尾', -3.7345452308654785)
public: ('公開', -2.443310022354126)
